epoch,train_loss,test_acc@1
1,7.146096467664561,5.66
2,7.922555682585411,4.65
3,8.006826268028966,4.73
4,8.031493988233743,4.26
5,8.027262196098405,4.36
6,8.002505862835756,4.14
7,7.910194470710361,4.6899999999999995
8,7.6901944789689844,4.79
9,7.493155489262846,5.48
10,7.52224634111542,6.32
11,7.355425824824068,7.28
12,7.227455748725183,8.36
13,7.019809742563779,9.180000000000001
14,6.887444043896862,10.059999999999999
15,6.706626110470172,10.52
16,6.539655272493658,11.67
17,6.442024073649928,12.21
18,6.378652951152055,13.05
19,6.260244276105743,13.51
20,6.133933313114127,15.659999999999998
21,6.005177792814589,15.740000000000002
22,5.913946363114819,16.220000000000002
23,5.825059020642152,18.4
24,5.703222043735465,18.68
25,5.59557476240335,20.49
26,5.452523821407986,21.46
27,5.316964547658704,22.869999999999997
28,5.193719765574662,23.71
29,5.063802566724954,24.22
30,4.963638507213789,26.02
31,4.905724171510677,26.19
32,4.802425797452631,26.35
33,4.736345718816383,28.27
34,4.587795582014261,29.520000000000003
35,4.498517351052196,29.720000000000002
36,4.415964337968335,30.85
37,4.343267573523767,31.77
38,4.290894872134494,31.730000000000004
39,4.194682617777402,32.16
40,4.137066732976854,33.28
41,4.069278368015879,33.410000000000004
42,4.002430618423777,33.300000000000004
43,3.9446787957063654,34.74
44,3.9203434039636984,33.47
45,3.8814434931450283,34.589999999999996
46,3.828473516346253,35.68
47,3.787437802737521,35.83
48,3.769435044416447,36.66
49,3.7294924971983603,37.41
50,3.6972760048109232,36.29
51,3.652016384085429,36.34
52,3.6166887971543775,37.6
53,3.5838831650842096,37.9
54,3.549819427667205,38.629999999999995
55,3.5296344953713956,38.66
56,3.4895569442473735,39.98
57,3.4830831227843295,39.83
58,3.460839559122459,40.18
59,3.4181151758764208,40.29
60,3.4037052773937737,40.37
61,3.372170753085736,40.83
62,3.3584992861010363,41.49
63,3.324084318790239,42.07
64,3.3277737996012893,41.959999999999994
65,3.287116414492892,42.47
66,3.275350329802208,42.0
