epoch,train_loss,test_acc@1
1,6.708451312841828,13.05
2,6.44933088538573,14.66
3,6.413993166894028,16.63
4,6.325321325321787,18.37
5,6.160047477053613,19.869999999999997
6,5.956845760345459,20.95
7,5.767540651498382,22.38
8,5.5546332732918335,23.89
9,5.3589658540548735,24.779999999999998
10,5.1715964828569865,26.919999999999998
11,4.971102685043492,28.4
12,4.805482815221413,29.38
13,4.655015217889216,30.630000000000003
14,4.521208423929116,31.75
15,4.414600578780027,32.47
16,4.307670578514178,33.269999999999996
17,4.225048871384454,33.76
18,4.15507122904984,34.48
19,4.063859514354431,35.33
20,3.988349808860071,35.410000000000004
21,3.93182096038897,35.88
22,3.8867188434010926,37.13
23,3.8539007496588007,37.25
24,3.80620930121117,38.73
25,3.761636119527915,38.39
26,3.7266148291912273,38.690000000000005
27,3.6715630698449835,38.87
28,3.6453848917459704,39.79
29,3.5977090781496974,39.56
30,3.577818044682139,40.35
31,3.549522426939502,39.97
32,3.5100430975255277,41.58
33,3.473920576351205,41.199999999999996
34,3.4726588996415284,42.04
35,3.430406420501237,41.18
36,3.402688245183414,42.11
37,3.3765030669182847,41.730000000000004
38,3.3635522065703403,42.809999999999995
39,3.3367161652476516,42.91
40,3.3060564626123488,42.57
41,3.300822641431671,43.78
42,3.267851568988918,43.68
43,3.264937924355576,44.09
44,3.232071933058119,44.46
45,3.20749392460302,43.830000000000005
46,3.2062060783818827,44.16
47,3.192219033683698,44.26
48,3.162796111450982,44.440000000000005
49,3.1629498570235732,45.51
50,3.1365999192306675,44.13
51,3.1261691137687446,45.540000000000006
52,3.1094101556797615,45.410000000000004
53,3.0764859017637587,45.82
54,3.0726224442118224,45.71
55,3.071517396218998,45.5
56,3.0476690297274245,46.29
57,3.049436940360315,46.28
58,3.046922027450247,46.57
59,3.0169551323369608,46.760000000000005
60,3.0136349741945563,47.23
61,3.0033447422932102,47.089999999999996
62,2.9991623372146763,46.97
63,2.9835294054955552,47.44
64,2.968607174981501,47.449999999999996
65,2.956376075744629,48.120000000000005
66,2.94702138605806,47.17
67,2.9371045520625163,47.93
68,2.924741747453041,48.28
69,2.9156703187018325,48.230000000000004
70,2.9104847981757724,48.3
71,2.886942568513536,48.36
72,2.884392212346657,48.8
73,2.878959156803249,48.22
74,2.88329901646093,48.39
75,2.8755317324215603,48.92
76,2.839028151993899,47.839999999999996
77,2.8390653182550802,48.66
78,2.843847085520164,47.97
79,2.831564908175124,50.06
80,2.8209956724619127,49.59
81,2.8188544352030016,48.75
82,2.7960982101479757,49.26
83,2.8017005109295403,49.51
84,2.783668864633619,49.33
85,2.770379550678214,49.33
86,2.775819962786645,49.82
87,2.7590226119326564,50.03999999999999
88,2.752986986612536,48.230000000000004
89,2.744379291829375,49.64
90,2.7482613484884046,49.29
91,2.7356318444320835,48.83
92,2.7434426509227947,50.5
93,2.725934006504177,50.0
94,2.7192626810565437,50.67
95,2.705338502667614,50.06
96,2.68625752213075,50.09
97,2.6795904243115296,50.64999999999999
98,2.68289534332826,49.85
99,2.6748441199666444,50.39
100,2.690831619439666,50.67
101,2.676693390325173,51.15
102,2.6653513588856175,51.0
103,2.6632962226867676,51.12
104,2.655506291340307,51.559999999999995
105,2.64054818743283,50.74999999999999
106,2.6473516311842142,50.41
107,2.642344354354229,50.690000000000005
108,2.6242420181785664,51.22
109,2.619473398346262,51.24999999999999
110,2.6180395662170097,51.51
111,2.62242840983204,51.790000000000006
112,2.6177063012860486,51.15
