epoch,train_loss,test_acc@1
1,7.083164118614393,28.68
2,7.317524973879156,30.259999999999998
3,7.357254864014301,32.21
4,7.225943501462641,32.71
5,7.101329395451496,36.53
6,6.8802659634462335,37.59
7,6.660304271068769,40.38
8,6.4874040859261735,42.36
9,6.306905377771437,44.73
10,6.147500760776481,46.97
11,5.925171006586134,49.24
12,5.723027720893781,51.1
13,5.527181841663478,52.23
14,5.319749537202501,53.83
15,5.127349671629286,55.16
16,4.96514822281513,56.36
17,4.815893197797008,57.87
18,4.6484156539759685,59.29
19,4.532168801297846,59.95
20,4.417489071482236,61.370000000000005
21,4.2939389317306045,60.77
22,4.2171998761363865,63.17
23,4.132141904732616,63.68000000000001
24,4.025948644913349,65.05
25,3.986192811395704,65.75
26,3.9316822769715616,66.01
27,3.8532239530504366,66.72
28,3.8191719866290534,67.67999999999999
29,3.778910477136828,67.62
30,3.717463439272851,67.92
31,3.679597006630652,68.12
32,3.6487403186326173,68.55
33,3.60480598321895,69.51
34,3.5662656936448873,70.25
35,3.5480267460813226,70.41
36,3.5082293736565973,70.32000000000001
37,3.484472540236011,70.85000000000001
38,3.4700348033118495,71.61999999999999
39,3.422182080671959,70.88
40,3.4203234038402126,71.89
41,3.394199457365213,71.55
42,3.3715457228041186,72.06
43,3.338670450387542,71.50999999999999
44,3.3182544536197307,71.93
45,3.328351187951786,72.28
46,3.2873729135572294,72.32
47,3.2458624987258125,72.39999999999999
48,3.2478911335935297,73.57000000000001
49,3.2199860651468493,73.31
50,3.195309140018581,73.67
51,3.18788636836809,73.98
52,3.1823010960805047,74.16
53,3.168017780657896,73.98
54,3.14168321226061,73.22999999999999
55,3.1315877560487726,73.5
56,3.122106168687958,74.51
57,3.0995133193497804,74.45
58,3.094362096688182,74.62
59,3.079645896695324,74.72
60,3.0651694007755554,75.06
61,3.0555419798978827,74.56
62,3.0383754194397286,74.98
63,3.0323438963939235,75.27000000000001
64,3.02057766422783,76.21
65,3.016862362930455,74.81
66,3.004968788205963,75.72
67,2.9991970848791376,75.82
68,2.9939272059607753,75.38
69,2.962192348598205,75.72
70,2.946831845745598,75.82
71,2.937404502298414,75.29
72,2.929198147095356,76.31
73,2.92837874176576,76.44
74,2.929644272499478,76.14999999999999
75,2.918795644622488,76.72
76,2.905867239863602,75.7
77,2.899229619920868,75.63
78,2.893443387808259,76.53999999999999
79,2.8755390373701903,76.19
80,2.8689179789159716,76.84
81,2.8720225058880047,76.52
82,2.8524718948246277,76.44
83,2.82736596618731,76.06
84,2.8375943395280347,76.86
85,2.814044642694218,76.92
86,2.8270662297907565,76.38000000000001
87,2.8102256342307808,77.01
88,2.8113934280946085,76.69
89,2.7862950428244995,77.33
90,2.790740367063542,77.37
91,2.7782922577612177,77.59
92,2.7828649221007358,78.52
93,2.761802302193396,77.44
94,2.7644471139022984,77.63
95,2.7500274869584547,78.09
96,2.743127849913135,78.64999999999999
97,2.7449010303340007,77.7
98,2.7300959297062195,78.06
99,2.7289369647035895,77.7
100,2.703370993899316,78.17
101,2.6961316693689406,78.35
102,2.7000192637296068,78.68
103,2.7063272761315416,78.61
104,2.687282282052581,78.62
105,2.6869219725893947,78.69
106,2.6550424049810037,78.75
107,2.6636581175106087,78.60000000000001
108,2.655496120452881,79.23
109,2.6407724164195896,78.5
110,2.647288300327419,79.14
111,2.6229292043705574,79.79
112,2.6430265534784376,79.73
113,2.630271169328198,79.71000000000001
114,2.6350410967758022,79.17
115,2.6255512114652655,79.35
116,2.61194245594064,79.9
117,2.599566779185816,79.43
118,2.5984752399405253,79.47
119,2.5908099892213174,79.78
120,2.5777287409477627,80.10000000000001
121,2.5815339407969997,79.86999999999999
122,2.5892712283380255,80.0
123,2.5674722956627916,79.51
124,2.5603333699334527,80.25999999999999
125,2.5535937289601747,80.30000000000001
126,2.561564366842054,79.72
127,2.5502993839303243,80.35
128,2.5510564661517585,80.54
129,2.535640591198636,80.39
130,2.5329308141138136,80.60000000000001
131,2.5101020532785,80.45
132,2.5151648103576347,80.56
133,2.5073827050395847,80.75
134,2.4995194341718534,81.13
135,2.498650936736274,80.67
136,2.4743327602897724,81.01
137,2.4775484419360603,80.94
138,2.4733609563296604,81.27
139,2.47951476352731,81.03
140,2.4668340584666457,80.78999999999999
141,2.468331145257065,80.47999999999999
142,2.4619106656497287,80.82000000000001
143,2.4500672620596347,81.53
144,2.434352764149302,81.33
145,2.4354365904306627,81.55
146,2.431571699909328,81.05
147,2.4246676213962517,81.0
148,2.4238530434284016,81.23
149,2.401323969831172,81.58999999999999
150,2.408475775079629,81.8
151,2.4085340696511808,81.75
152,2.4060010418449482,81.69999999999999
153,2.4053411680398527,81.75
154,2.3907501820436456,81.82000000000001
155,2.379919278252985,81.41000000000001
156,2.3880504185391453,81.6
157,2.3763652855587987,81.58
158,2.369595326099199,81.78
159,2.367294741660049,81.74
160,2.3630668281279887,81.91000000000001
161,2.3442246274849805,82.22
162,2.3493836565116015,81.92
163,2.3421203696850648,82.09
164,2.3479548803309807,82.17999999999999
165,2.340806978265035,82.0
166,2.3264579305943753,82.08
167,2.3279113277946553,82.23
168,2.327413573707502,82.17999999999999
169,2.318306229778172,82.27
170,2.318551675560548,81.91000000000001
171,2.3194397356092313,82.36
172,2.3177459682385946,82.41000000000001
